date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:07:16	2430/2430	---M--	200	added ('OK')	image/gif	etag:%22b240c8cc8c1ed01:2d56%22	http://www.gkf.kr/images/sub/tit_y_3.gif	C:/My%20Web%20Sites/giga/www.gkf.kr/images/sub/tit_y_3.gif	(from http://www.gkf.kr/sub/business/business_1.asp)
12:07:16	2421/2421	---M--	200	added ('OK')	image/gif	etag:%22dc569dcc8c1ed01:2d56%22	http://www.gkf.kr/images/sub/tit_y_4.gif	C:/My%20Web%20Sites/giga/www.gkf.kr/images/sub/tit_y_4.gif	(from http://www.gkf.kr/sub/business/business_1.asp)
12:07:16	4543/4543	---M--	200	added ('OK')	image/png	etag:%224a46d7cbbb7d01:2d56%22	http://www.gkf.kr/images/include/footer_logo.png	C:/My%20Web%20Sites/giga/www.gkf.kr/images/include/footer_logo.png	(from http://www.gkf.kr/sub/business/business_1.asp)
12:07:16	188/188	---M--	200	added ('OK')	image/png	etag:%22f65baccbbb7d01:2d56%22	http://www.gkf.kr/images/include/footerbar.png	C:/My%20Web%20Sites/giga/www.gkf.kr/images/include/footerbar.png	(from http://www.gkf.kr/sub/business/business_1.asp)
12:07:16	2657/2657	---M--	200	added ('OK')	text/css	etag:%22c614d5a62d68d01:2d56%22	http://www.gkf.kr/common/css/common.css	C:/My%20Web%20Sites/giga/www.gkf.kr/common/css/common.css	(from http://www.gkf.kr/common/css/style.css)
12:07:17	7777/7777	---M--	200	added ('OK')	text/css	etag:%22d4e187cb3468d01:2d56%22	http://www.gkf.kr/common/css/style_inc.css	C:/My%20Web%20Sites/giga/www.gkf.kr/common/css/style_inc.css	(from http://www.gkf.kr/common/css/style.css)
12:07:17	6873/6873	---M--	200	added ('OK')	text/css	etag:%22f2ff35912f68d01:2d56%22	http://www.gkf.kr/common/css/style_main.css	C:/My%20Web%20Sites/giga/www.gkf.kr/common/css/style_main.css	(from http://www.gkf.kr/common/css/style.css)
12:07:17	18489/18489	---M--	200	added ('OK')	text/css	etag:%22361d3472dc6d11:2d56%22	http://www.gkf.kr/common/css/style_sub.css	C:/My%20Web%20Sites/giga/www.gkf.kr/common/css/style_sub.css	(from http://www.gkf.kr/common/css/style.css)
12:07:18	13917/13917	---M--	200	added ('OK')	text/css	etag:%22e7111ebb1b83d01:2d56%22	http://www.gkf.kr/common/css/style_board.css	C:/My%20Web%20Sites/giga/www.gkf.kr/common/css/style_board.css	(from http://www.gkf.kr/common/css/style.css)
12:07:19	2838/2838	---M--	200	added ('OK')	image/png	etag:%224e7586bbb27d01:2d56%22	http://www.gkf.kr/images/include/bg_depth1_off.png	C:/My%20Web%20Sites/giga/www.gkf.kr/images/include/bg_depth1_off.png	(from http://www.gkf.kr/common/css/style_inc.css)
12:07:19	398/398	---M--	200	added ('OK')	image/png	etag:%229ce7d9bbb27d01:2d56%22	http://www.gkf.kr/images/include/bg_depthall_off.png	C:/My%20Web%20Sites/giga/www.gkf.kr/images/include/bg_depthall_off.png	(from http://www.gkf.kr/common/css/style_inc.css)
12:07:19	3966/3966	---M--	200	added ('OK')	image/png	etag:%22fcc1b3bbb27d01:2d56%22	http://www.gkf.kr/images/include/bg_depth1_on.png	C:/My%20Web%20Sites/giga/www.gkf.kr/images/include/bg_depth1_on.png	(from http://www.gkf.kr/common/css/style_inc.css)
12:07:19	398/398	---M--	200	added ('OK')	image/png	etag:%22f0d14bcb27d01:2d56%22	http://www.gkf.kr/images/include/bg_depthall_on.png	C:/My%20Web%20Sites/giga/www.gkf.kr/images/include/bg_depthall_on.png	(from http://www.gkf.kr/common/css/style_inc.css)
12:07:19	202/202	---M--	200	added ('OK')	image/png	etag:%2242a13f69524d01:2d56%22	http://www.gkf.kr/images/include/ebg_depth1_off.png	C:/My%20Web%20Sites/giga/www.gkf.kr/images/include/ebg_depth1_off.png	(from http://www.gkf.kr/common/css/style_inc.css)
12:07:20	64/64	---M--	200	added ('OK')	image/gif	etag:%227c6e1c82be1dd01:2d56%22	http://www.gkf.kr/images/include/icon_ar.gif	C:/My%20Web%20Sites/giga/www.gkf.kr/images/include/icon_ar.gif	(from http://www.gkf.kr/common/css/style_inc.css)
